0.1	4	8.64	0	2.16	6.689075023	10000	0
0.2	4	8.4	0	2.1	6.444385895	5000	0
0.5	4	8.4	0	2.1	6.444385895	2000	0
1	4	8.4	0	2.1	6.444385895	1000	0
2	4	8.4	0	2.1	6.444385895	500	0
5	4	8.4	0	2.1	6.444385895	200	0
10	4	8.32	0	2.08	6.361266699	100	0
20	4	8.32	0	2.08	6.361266699	50	0
30	4	8.08	-2.5	2.02	6.107027389	33.33333333	-27
50	4	4.8	-3	1.2	1.583624921	20	-54
100	4	2.32	-2.4	0.58	-4.731440129	10	-86.4
200	4	1.2	-1.6	0.3	-10.45757491	5	-115.2
300	4	0.88	-1.25	0.22	-13.15154638	3.333333333	-135
500	4	0.48	-0.8	0.12	-18.41637508	2	-144
